minute,goalDifference,player,position,rating,team,eloTeam,keeper,keeperRating,opponent,eloOpponent,isHome,x,y,distance,angle,situation,bodyPart,xg,goal
1,0,Jens Odgaard,F,73,Bologna,1764,Elia Caprile,73,Empoli,1623,False,32,34,32,10,assisted,left-foot,0.010696669109166,0
4,0,Nicolò Cambiaghi,F,72,Empoli,1623,Łukasz Skorupski,77,Bologna,1764,True,18,21,26,46,assisted,right-foot,0.017399828881025,0
9,0,Kacper Urbański,M,51,Bologna,1764,Elia Caprile,73,Empoli,1623,False,26,28,28,24,assisted,right-foot,0.015179978683591,0
10,0,Sam Beukema,D,54,Bologna,1764,Elia Caprile,73,Empoli,1623,False,11,38,11,10,corner,head,0.038065444678068,0
18,0,Sam Beukema,D,54,Bologna,1764,Elia Caprile,73,Empoli,1623,False,8,42,8,14,corner,head,0.094178982079029,0
18,0,Kacper Urbański,M,51,Bologna,1764,Elia Caprile,73,Empoli,1623,False,8,45,9,32,corner,right-foot,0.1936746686697,0
19,0,Kacper Urbański,M,51,Bologna,1764,Elia Caprile,73,Empoli,1623,False,9,37,9,18,assisted,head,0.080680988729,0
19,0,Sam Beukema,D,54,Bologna,1764,Elia Caprile,73,Empoli,1623,False,8,45,9,32,regular,left-foot,0.15087747573853,0
19,0,Kacper Urbański,M,51,Bologna,1764,Elia Caprile,73,Empoli,1623,False,8,38,8,14,regular,right-foot,0.20713165402412,0
26,0,Szymon Żurkowski,M,71,Empoli,1623,Łukasz Skorupski,77,Bologna,1764,True,18,32,19,23,assisted,left-foot,0.067936204373837,0
34,0,Jens Odgaard,F,73,Bologna,1764,Elia Caprile,73,Empoli,1623,False,18,44,18,12,assisted,left-foot,0.03661984205246,0
39,0,Dan Ndoye,M,64,Bologna,1764,Elia Caprile,73,Empoli,1623,False,15,55,21,45,assisted,left-foot,0.022707289084792,0
41,0,M'Baye Niang,F,73,Empoli,1623,Łukasz Skorupski,77,Bologna,1764,True,14,32,16,29,set-piece,head,0.012815174646676,0
44,0,Bartosz Bereszyński,D,55,Empoli,1623,Łukasz Skorupski,77,Bologna,1764,True,26,55,30,29,corner,right-foot,0.01684508100152,0
48,0,Jens Odgaard,F,73,Bologna,1764,Elia Caprile,73,Empoli,1623,False,23,33,24,16,assisted,right-foot,0.034740589559078,0
48,0,Sebastiano Luperto,D,57,Empoli,1623,Łukasz Skorupski,77,Bologna,1764,True,17,34,18,19,assisted,left-foot,0.055932633578777,0
48,0,Răzvan Marin,M,74,Empoli,1623,Łukasz Skorupski,77,Bologna,1764,True,32,23,36,27,assisted,right-foot,0.017263378947973,0
