,game,round,week,date,home_team,away_team,home_score,away_score,game_id
187,2025-02-09 Olympique Lyonnais-Stade de Reims,21,21,2025-02-09 14:00:00+00:00,Olympique Lyonnais,Stade de Reims,4.0,0.0,12451020
188,2025-02-09 RC Strasbourg-Montpellier,21,21,2025-02-09 16:15:00+00:00,RC Strasbourg,Montpellier,2.0,0.0,12451011
189,2025-02-14 Stade Brestois-Auxerre,22,22,2025-02-14 19:45:00+00:00,Stade Brestois,Auxerre,2.0,2.0,12451035
190,2025-02-15 AS Monaco-Nantes,22,22,2025-02-15 18:00:00+00:00,AS Monaco,Nantes,7.0,1.0,12451043
191,2025-02-15 Olympique de Marseille-Saint-Étienne,22,22,2025-02-15 16:00:00+00:00,Olympique de Marseille,Saint-Étienne,5.0,1.0,12451028
192,2025-02-15 Toulouse-Paris Saint-Germain,22,22,2025-02-15 20:05:00+00:00,Toulouse,Paris Saint-Germain,0.0,1.0,12451026
193,2025-02-16 Le Havre-Nice,22,22,2025-02-16 16:15:00+00:00,Le Havre,Nice,1.0,3.0,12451041
194,2025-02-16 Montpellier-Olympique Lyonnais,22,22,2025-02-16 14:00:00+00:00,Montpellier,Olympique Lyonnais,1.0,4.0,12451030
195,2025-02-16 RC Lens-RC Strasbourg,22,22,2025-02-16 16:15:00+00:00,RC Lens,RC Strasbourg,0.0,2.0,12451032
196,2025-02-16 Stade Rennais-Lille,22,22,2025-02-16 19:45:00+00:00,Stade Rennais,Lille,0.0,2.0,12451037
197,2025-02-16 Stade de Reims-Angers,22,22,2025-02-16 16:15:00+00:00,Stade de Reims,Angers,0.0,1.0,12451039
198,2025-02-21 Stade Rennais-Stade de Reims,23,23,2025-02-21 19:45:00+00:00,Stade Rennais,Stade de Reims,,,12451045
199,2025-02-22 Auxerre-Olympique de Marseille,23,23,2025-02-22 20:05:00+00:00,Auxerre,Olympique de Marseille,,,12450891
200,2025-02-22 Lille-AS Monaco,23,23,2025-02-22 16:00:00+00:00,Lille,AS Monaco,,,12450886
201,2025-02-22 Saint-Étienne-Angers,23,23,2025-02-22 18:00:00+00:00,Saint-Étienne,Angers,,,12450890
202,2025-02-23 Le Havre-Toulouse,23,23,2025-02-23 16:15:00+00:00,Le Havre,Toulouse,,,12451047
203,2025-02-23 Nantes-RC Lens,23,23,2025-02-23 14:00:00+00:00,Nantes,RC Lens,,,12450888
204,2025-02-23 Nice-Montpellier,23,23,2025-02-23 16:15:00+00:00,Nice,Montpellier,,,12450892
205,2025-02-23 Olympique Lyonnais-Paris Saint-Germain,23,23,2025-02-23 19:45:00+00:00,Olympique Lyonnais,Paris Saint-Germain,,,12450236
206,2025-02-23 RC Strasbourg-Stade Brestois,23,23,2025-02-23 16:15:00+00:00,RC Strasbourg,Stade Brestois,,,12450887
207,2025-02-28 AS Monaco-Stade de Reims,24,24,2025-02-28 19:45:00+00:00,AS Monaco,Stade de Reims,,,12450241
208,2025-03-01 Paris Saint-Germain-Lille,24,24,2025-03-01 20:05:00+00:00,Paris Saint-Germain,Lille,,,12450233
209,2025-03-01 RC Lens-Le Havre,24,24,2025-03-01 18:00:00+00:00,RC Lens,Le Havre,,,12450237
210,2025-03-01 Saint-Étienne-Nice,24,24,2025-03-01 16:00:00+00:00,Saint-Étienne,Nice,,,12450239
211,2025-03-02 Angers-Toulouse,24,24,2025-03-02 16:15:00+00:00,Angers,Toulouse,,,12450242
212,2025-03-02 Auxerre-RC Strasbourg,24,24,2025-03-02 16:15:00+00:00,Auxerre,RC Strasbourg,,,12450240
213,2025-03-02 Montpellier-Stade Rennais,24,24,2025-03-02 16:15:00+00:00,Montpellier,Stade Rennais,,,12450238
214,2025-03-02 Olympique Lyonnais-Stade Brestois,24,24,2025-03-02 14:00:00+00:00,Olympique Lyonnais,Stade Brestois,,,12450234
215,2025-03-02 Olympique de Marseille-Nantes,24,24,2025-03-02 19:45:00+00:00,Olympique de Marseille,Nantes,,,12450235
216,2025-03-08 Olympique de Marseille-RC Lens,25,25,2025-03-08 16:00:00+00:00,Olympique de Marseille,RC Lens,,,12450253
217,2025-03-09 Le Havre-Saint-Étienne,25,25,2025-03-09 16:15:00+00:00,Le Havre,Saint-Étienne,,,12450244
218,2025-03-09 Lille-Montpellier,25,25,2025-03-09 16:00:00+00:00,Lille,Montpellier,,,12450251
219,2025-03-09 Nantes-RC Strasbourg,25,25,2025-03-09 16:15:00+00:00,Nantes,RC Strasbourg,,,12450250
220,2025-03-09 Nice-Olympique Lyonnais,25,25,2025-03-09 16:00:00+00:00,Nice,Olympique Lyonnais,,,12450246
221,2025-03-09 Stade Brestois-Angers,25,25,2025-03-09 16:00:00+00:00,Stade Brestois,Angers,,,12450249
